haskell-invariant 0.6.3-9
haskell-iproute 1.7.12-83
haskell-ipynb 0.2-142
haskell-isocline 1.0.9-2
haskell-jira-wiki-markup 1.5.1-23
haskell-juicypixels 3.3.8-32
haskell-kan-extensions 5.2.6-7
haskell-lens 5.2.3-46
haskell-lexer 1.1.1-2
haskell-libmpd 0.10.0.0-155
haskell-libyaml 0.1.4-8
haskell-lpeg 1.0.4-27
haskell-lua 2.3.2-7
haskell-memory 0.18.0-9
haskell-mime-types 0.1.2.0-2
haskell-mmorph 1.2.0-6
haskell-monad-control 1.0.3.1-103
haskell-monad-loops 0.4.3-26
haskell-mono-traversable 1.0.17.0-11
haskell-netlink 1.1.1.0-15
haskell-network 3.1.4.0-21
haskell-network-byte-order 0.1.7-2
haskell-network-uri 2.6.4.2-32
haskell-old-locale 1.0.0.7-31
haskell-old-time 1.1.0.4-2
haskell-onetuple 0.4.1-3
haskell-only 0.1-23
haskell-optparse-applicative 0.17.1.0-31
haskell-ordered-containers 0.2.4-1
haskell-os-string 2.0.6-1
haskell-pandoc 3.1.9-7
haskell-pandoc-lua-engine 0.2.1.2-31
haskell-pandoc-lua-marshal 0.2.4-5
haskell-pandoc-server 0.1.0.5-48
haskell-pandoc-types 1.23.1-24
haskell-pango 0.13.10.0-1
haskell-parallel 3.2.2.0-18
haskell-parsec-numbers 0.1.0-19
haskell-pem 0.2.4-287
haskell-pretty-hex 1.1-10
haskell-pretty-show 1.10-15
haskell-prettyprinter 1.7.1-168
haskell-primitive 0.7.4.0-113
haskell-profunctors 5.6.2-176
haskell-psqueues 0.2.8.0-11
haskell-quickcheck 2.14.3-67
haskell-random 1.2.1.2-11
haskell-recv 0.1.0-31
haskell-reflection 2.1.7-25
haskell-regex-base 0.94.0.2-3
haskell-regex-compat 0.95.2.1-7
haskell-regex-posix 0.96.0.1-4
haskell-regex-tdfa 1.3.2.2-45
haskell-resourcet 1.2.6-52
haskell-safe 0.3.21-6
haskell-safe-exceptions 0.1.7.4-22
haskell-scientific 0.3.7.0-114
haskell-semialign 1.2.0.1-163
haskell-semigroupoids 5.3.7-145
haskell-servant 0.20.1-15
haskell-servant-server 0.20-28
haskell-sha 1.6.4.4-20
haskell-simple-sendfile 0.2.32-39
haskell-singleton-bool 0.1.7-3
haskell-skylighting 0.14-19
haskell-skylighting-core 0.14-18
haskell-skylighting-format-ansi 0.1-125
haskell-skylighting-format-blaze-html 0.1.1.2-12
haskell-skylighting-format-context 0.1.0.2-90
haskell-skylighting-format-latex 0.1-125
haskell-socks 0.6.1-238
haskell-some 1.0.5-2
haskell-sop-core 0.5.0.2-2
haskell-split 0.2.5-7
haskell-splitmix 0.1.0.5-24
haskell-statevar 1.2.2-3
haskell-streaming-commons 0.2.2.6-27
haskell-strict 0.4.0.1-246
haskell-string-conversions 0.4.0.1-172
haskell-syb 0.7.2.4-9
haskell-tagged 0.8.8-2
haskell-tagsoup 0.14.8-227
haskell-temporary 1.3-589
haskell-texmath 0.12.8.4-18
haskell-text-conversions 0.3.1.1-64
haskell-text-icu 0.8.0.5-3
haskell-text-short 0.1.5-80
haskell-th-abstraction 0.4.5.0-2
haskell-th-compat 0.1.5-3
haskell-th-lift 0.8.4-2
haskell-th-lift-instances 0.1.20-48
haskell-these 1.1.1.1-273
haskell-time-compat 1.9.6.1-98
haskell-time-manager 0.0.1-36
haskell-timezone-olson 0.2.1-2
haskell-timezone-series 0.1.13-2
haskell-tls 1.8.0-30
haskell-toml-parser 1.3.1.3-21
haskell-transformers-base 0.4.6-103
haskell-transformers-compat 0.7.2-2
haskell-type-equality 1.0.1-1
